order_id,customer_id,product_id,category,price,discount,quantity,payment_method,order_date,delivered_date,region,returned,request_date,return_reason,total_amount,shipping_cost,profit,customer_age,customer_gender,calc_total,is_returned,returned_amount,net_sales,gross_before_discount,discount_amount,delivery_days,return_lag_days,year_month,year,quarter,weekday,month_num,age_group,price_band,discount_band,delivery_band,profit_pct_of_sales,net_profit,is_partial_month
O100000,C17270,P234890,Home,164.08,0.15,1,Credit Card,2023-12-23,2023-12-27,West,No,,Not Returned,139.47,7.88,31.17,60,Female,139.46800000000002,0,0.0,139.47,164.08,24.610000000000014,4,,2023-12-01,2023,2023Q4,Saturday,12,56-69,$100-250,11-20%,4-5d,0.22348892234889225,31.17,0
O100001,C17603,P228204,Grocery,24.73,0.0,1,Credit Card,2025-04-03,2025-04-09,South,No,,Not Returned,24.73,4.6,-2.62,37,Male,24.73,0,0.0,24.73,24.73,0.0,6,,2025-04-01,2025,2025Q2,Thursday,4,36-45,$20-50,0%,6-7d,-0.10594419733117671,-2.62,0
O100002,C10860,P213892,Electronics,175.58,0.05,1,Credit Card,2024-10-08,2024-10-12,North,No,,Not Returned,166.8,6.58,13.44,34,Male,166.80100000000002,0,0.0,166.8,175.58,8.780000000000001,4,,2024-10-01,2024,2024Q4,Tuesday,10,26-35,$100-250,1-5%,4-5d,0.08057553956834532,13.44,0
O100003,C15390,P208689,Electronics,63.67,0.0,1,UPI,2024-09-14,2024-09-20,South,No,,Not Returned,63.67,5.5,2.14,21,Female,63.67,0,0.0,63.67,63.67,0.0,6,,2024-09-01,2024,2024Q3,Saturday,9,18-25,$50-100,0%,6-7d,0.03361080571697817,2.14,0
O100004,C15226,P228063,Home,16.33,0.15,1,COD,2024-12-21,2024-12-27,East,No,,Not Returned,13.88,2.74,1.15,39,Male,13.880499999999998,0,0.0,13.88,16.33,2.4499999999999975,6,,2024-12-01,2024,2024Q4,Saturday,12,36-45,<$20,11-20%,6-7d,0.0828530259365994,1.15,0
O100005,C15191,P214062,Beauty,53.91,0.1,2,Credit Card,2024-04-14,2024-04-19,South,No,,Not Returned,97.04,6.32,37.35,35,Female,97.038,0,0.0,97.04,107.82,10.779999999999987,5,,2024-04-01,2024,2024Q2,Sunday,4,26-35,$50-100,6-10%,4-5d,0.38489282769991756,37.35,0
O100006,C13772,P201363,Electronics,266.5,0.0,1,PayPal,2025-05-20,2025-05-25,East,No,,Not Returned,266.5,9.1,22.88,49,Male,266.5,0,0.0,266.5,266.5,0.0,5,,2025-05-01,2025,2025Q2,Tuesday,5,46-55,$250-500,0%,4-5d,0.08585365853658536,22.88,0
O100007,C13092,P216691,Beauty,9.98,0.0,1,Credit Card,2023-09-14,2023-09-18,West,No,,Not Returned,9.98,4.51,-0.02,66,Other,9.98,0,0.0,9.98,9.98,0.0,4,,2023-09-01,2023,2023Q3,Thursday,9,56-69,<$20,0%,4-5d,-0.002004008016032064,-0.02,1
O100008,C15734,P202751,Fashion,6.61,0.05,1,Debit Card,2023-10-23,2023-10-29,West,No,,Not Returned,6.28,3.43,-1.23,37,Female,6.2795,0,0.0,6.28,6.61,0.33000000000000007,6,,2023-10-01,2023,2023Q4,Monday,10,36-45,<$20,1-5%,6-7d,-0.19585987261146495,-1.23,0
O100009,C16265,P207782,Grocery,10.91,0.0,1,Credit Card,2023-10-31,2023-11-06,South,No,,Not Returned,10.91,2.76,-1.89,56,Male,10.91,0,0.0,10.91,10.91,0.0,6,,2023-10-01,2023,2023Q4,Tuesday,10,56-69,<$20,0%,6-7d,-0.17323556370302473,-1.89,0
O100010,C10466,P217648,Beauty,6.61,0.1,1,Debit Card,2024-02-07,2024-02-12,South,No,,Not Returned,5.95,2.16,0.52,40,Female,5.949000000000001,0,0.0,5.95,6.61,0.6600000000000001,5,,2024-02-01,2024,2024Q1,Wednesday,2,36-45,<$20,6-10%,4-5d,0.08739495798319327,0.52,0
